x,y,z,value,lat,long
0,5,1,6.550973346686185,40.78696,-111.905367
0,5,2,6.996961458301969,40.76345,-111.905367
0,5,3,6.134055349786578,40.73993,-111.905367
0,5,4,5.594983110836775,40.71642,-111.905367
0,5,5,6.095591540183458,40.69291,-111.905367
0,5,6,4.342323943549228,40.66939,-111.905367
0,5,7,5.126444072532786,40.64588,-111.905367
0,5,8,5.822612051368478,40.62236,-111.905367
0,5,9,6.445132144743917,40.59885,-111.905367
0,6,0,5.552186559975222,40.81048,-111.8861706
0,6,1,6.184714748916058,40.78696,-111.8861706
0,6,2,7.485905567769768,40.76345,-111.8861706
0,6,3,7.041392837617624,40.73993,-111.8861706
0,6,4,6.493975802298659,40.71642,-111.8861706
0,6,5,5.05309817512036,40.69291,-111.8861706
0,6,6,5.258657449787274,40.66939,-111.8861706
0,6,7,5.627570592200759,40.64588,-111.8861706
0,6,8,6.317906267268882,40.62236,-111.8861706
0,6,9,5.765187428503397,40.59885,-111.8861706
0,7,0,4.86601907790306,40.81048,-111.8669742
0,7,1,5.844961238498904,40.78696,-111.8669742
0,7,2,7.5120193426973465,40.76345,-111.8669742
0,7,3,7.302472930347278,40.73993,-111.8669742
0,7,4,6.700920266444847,40.71642,-111.8669742
0,7,5,5.769708843202808,40.69291,-111.8669742
0,7,6,4.594831983223561,40.66939,-111.8669742
0,7,7,5.649682065001954,40.64588,-111.8669742
0,7,8,5.722981882889979,40.62236,-111.8669742
0,7,9,5.541374921974175,40.59885,-111.8669742
0,8,0,3.454776036739961,40.81048,-111.8477778
0,8,1,5.301602306837992,40.78696,-111.8477778
0,8,2,6.98184407449587,40.76345,-111.8477778
0,8,3,8.499333796902118,40.73993,-111.8477778
0,8,4,6.068315014005247,40.71642,-111.8477778
0,8,5,4.74243281610102,40.69291,-111.8477778
0,8,6,4.579174871329481,40.66939,-111.8477778
0,8,7,4.208356362184916,40.64588,-111.8477778
0,8,8,5.186864584703226,40.62236,-111.8477778
0,8,9,5.44917070868423,40.59885,-111.8477778
0,9,0,3.437710011915267,40.81048,-111.8285814
0,9,1,4.166440670231541,40.78696,-111.8285814
0,9,2,6.068302218539699,40.76345,-111.8285814
0,9,3,6.0663014810329425,40.73993,-111.8285814
0,9,4,5.646763576057323,40.71642,-111.8285814
0,9,5,4.484801850709072,40.69291,-111.8285814
0,9,6,3.9134065745270705,40.66939,-111.8285814
0,9,7,4.965272859276757,40.64588,-111.8285814
0,9,8,5.475250987438553,40.62236,-111.8285814
0,9,9,5.2943394791445195,40.59885,-111.8285814
0,10,0,4.011704922672085,40.81048,-111.809385
0,10,1,4.458670352347883,40.78696,-111.809385
0,10,2,5.107294545928823,40.76345,-111.809385
0,10,3,4.537605125818857,40.73993,-111.809385
0,10,4,4.539672482393896,40.71642,-111.809385
0,10,5,4.296101933903485,40.69291,-111.809385
0,10,6,5.126536265649304,40.66939,-111.809385
0,10,7,5.060785733488128,40.64588,-111.809385
0,10,8,5.014497943699452,40.62236,-111.809385
0,10,9,5.3591638460847335,40.59885,-111.809385
0,11,0,4.413725890675437,40.81048,-111.7901886
0,11,1,4.239179467168391,40.78696,-111.7901886
0,11,2,4.771840423863857,40.76345,-111.7901886
0,11,3,4.541379780059672,40.73993,-111.7901886
0,11,4,4.376135217706188,40.71642,-111.7901886
0,11,5,4.775264487224766,40.69291,-111.7901886
0,11,6,4.709434173425873,40.66939,-111.7901886
0,11,7,5.149062477274839,40.64588,-111.7901886
0,11,8,5.258301680994455,40.62236,-111.7901886
0,11,9,5.166721194740523,40.59885,-111.7901886
0,12,0,4.598297215509283,40.81048,-111.7709922
0,12,1,4.095423608867231,40.78696,-111.7709922
0,12,2,4.750009777977252,40.76345,-111.7709922
0,12,3,4.672947518007759,40.73993,-111.7709922
0,12,4,3.896839803055579,40.71642,-111.7709922
0,12,5,4.725472708020683,40.69291,-111.7709922
0,12,6,4.883490997906911,40.66939,-111.7709922
0,12,7,4.335888815423545,40.64588,-111.7709922
0,12,8,4.971321985073472,40.62236,-111.7709922
0,12,9,5.011061919774622,40.59885,-111.7709922
0,13,0,4.641438064892378,40.81048,-111.7517958
0,13,1,4.276340215848932,40.78696,-111.7517958
0,13,2,4.728421701314835,40.76345,-111.7517958
0,13,3,4.64644972851205,40.73993,-111.7517958
0,13,4,4.101605417478078,40.71642,-111.7517958
0,13,5,4.716397668583472,40.69291,-111.7517958
0,13,6,4.3263514989384,40.66939,-111.7517958
0,13,7,4.165411388765246,40.64588,-111.7517958
0,13,8,4.663846054964719,40.62236,-111.7517958
0,13,9,4.893317721969517,40.59885,-111.7517958
0,14,0,4.621306560705219,40.81048,-111.7325994
0,14,1,4.468599374292656,40.78696,-111.7325994
0,14,2,4.5789397566448375,40.76345,-111.7325994
0,14,3,4.617853739768988,40.73993,-111.7325994
0,14,4,4.447528034704867,40.71642,-111.7325994
0,14,5,4.602841316379289,40.69291,-111.7325994
0,14,6,4.357507619030459,40.66939,-111.7325994
0,14,7,4.552212793978009,40.64588,-111.7325994
0,14,8,3.7281541999507857,40.62236,-111.7325994
0,14,9,4.698679852364316,40.59885,-111.7325994
0,15,0,4.477984329690349,40.81048,-111.713403
0,15,1,4.227030393540929,40.78696,-111.713403
0,15,2,4.344634946185459,40.76345,-111.713403
0,15,3,4.4431174843198455,40.73993,-111.713403
0,15,4,4.252928408567221,40.71642,-111.713403
0,15,5,4.527388790970866,40.69291,-111.713403
0,15,6,4.30599851031954,40.66939,-111.713403
0,15,7,4.5016093400596295,40.64588,-111.713403
0,15,8,3.8638380940062,40.62236,-111.713403
0,15,9,4.494185120728894,40.59885,-111.713403
1,0,0,5.983361853598796,40.81048,-112.001349
1,0,1,5.995383794505613,40.78696,-112.001349
1,0,2,6.052915096901035,40.76345,-112.001349
1,0,3,6.343181373567578,40.73993,-112.001349
1,0,4,6.560079598479188,40.71642,-112.001349
1,0,5,6.286041409808556,40.69291,-112.001349
1,0,6,6.347648129125115,40.66939,-112.001349
1,0,7,6.518560192772741,40.64588,-112.001349
1,0,8,6.3481116951689325,40.62236,-112.001349
1,0,9,6.239969021873896,40.59885,-112.001349
1,1,0,5.886522592402434,40.81048,-111.9821526
1,1,1,6.0103517040757035,40.78696,-111.9821526
1,1,2,5.96581358226222,40.76345,-111.9821526
1,1,3,6.399963603628526,40.73993,-111.9821526
1,1,4,6.540639933840183,40.71642,-111.9821526
1,1,5,6.084050202081167,40.69291,-111.9821526
1,1,6,6.121767563621298,40.66939,-111.9821526
1,1,7,6.560205653950141,40.64588,-111.9821526
1,1,8,6.23704785776358,40.62236,-111.9821526
1,1,9,5.976606672152139,40.59885,-111.9821526
1,2,0,5.8859927103503065,40.81048,-111.9629562
1,2,1,6.111466073399454,40.78696,-111.9629562
1,2,2,6.1691588343704655,40.76345,-111.9629562
1,2,3,6.750782416167599,40.73993,-111.9629562
1,2,4,6.411657255974337,40.71642,-111.9629562
1,2,5,5.6738116713087186,40.69291,-111.9629562
1,2,6,5.727833367471545,40.66939,-111.9629562
1,2,7,6.463426073160326,40.64588,-111.9629562
1,2,8,5.985235146186843,40.62236,-111.9629562
1,2,9,5.618166803041193,40.59885,-111.9629562
1,3,0,5.954862871363382,40.81048,-111.9437598
1,3,1,6.366355663640341,40.78696,-111.9437598
1,3,2,6.948945934236867,40.76345,-111.9437598
1,3,3,6.851048098334623,40.73993,-111.9437598
1,3,4,5.84611394648377,40.71642,-111.9437598
1,3,5,5.063591453711846,40.69291,-111.9437598
1,3,6,4.963888451075351,40.66939,-111.9437598
1,3,7,6.6181588103208595,40.64588,-111.9437598
1,3,8,5.644817125635841,40.62236,-111.9437598
1,3,9,5.189063920559633,40.59885,-111.9437598
1,4,0,6.283571772331053,40.81048,-111.9245634
1,4,1,7.121677122302243,40.78696,-111.9245634
1,4,2,6.929517975202011,40.76345,-111.9245634
1,4,3,6.861416020668788,40.73993,-111.9245634
1,4,4,5.484609476656183,40.71642,-111.9245634
1,4,5,4.711245332121651,40.69291,-111.9245634
1,4,6,4.56597631371063,40.66939,-111.9245634
1,4,7,5.323787126675359,40.64588,-111.9245634
1,4,8,8.01469970094835,40.62236,-111.9245634
1,4,9,4.846784221956037,40.59885,-111.9245634
1,5,0,6.1554608313870105,40.81048,-111.905367
1,5,1,6.993883625055089,40.78696,-111.905367
1,5,2,7.813257944321769,40.76345,-111.905367
1,5,3,6.651038486270729,40.73993,-111.905367
1,5,4,6.137387130778429,40.71642,-111.905367
1,5,5,6.471525974504087,40.69291,-111.905367
1,5,6,4.515012979818183,40.66939,-111.905367
1,5,7,5.2924852327110115,40.64588,-111.905367
1,5,8,5.783673368547022,40.62236,-111.905367
1,5,9,6.572350253254118,40.59885,-111.905367
1,6,0,5.350882358268524,40.81048,-111.8861706
1,6,1,6.1437127773833256,40.78696,-111.8861706
1,6,2,8.487546801636546,40.76345,-111.8861706
1,6,3,7.68997507178711,40.73993,-111.8861706
1,6,4,7.1959594046850075,40.71642,-111.8861706
1,6,5,5.59763663677983,40.69291,-111.8861706
1,6,6,5.652279256779596,40.66939,-111.8861706
1,6,7,6.019156825537568,40.64588,-111.8861706
1,6,8,5.864811210808033,40.62236,-111.8861706
1,6,9,5.661021794678904,40.59885,-111.8861706
1,7,0,4.710974158056533,40.81048,-111.8669742
1,7,1,5.378118567510486,40.78696,-111.8669742
1,7,2,7.830476139073523,40.76345,-111.8669742
1,7,3,7.760178387085322,40.73993,-111.8669742
1,7,4,7.323934544775943,40.71642,-111.8669742
1,7,5,6.351744598517397,40.69291,-111.8669742
1,7,6,4.98722132648038,40.66939,-111.8669742
1,7,7,6.176744189888111,40.64588,-111.8669742
1,7,8,5.871634661585358,40.62236,-111.8669742
1,7,9,5.4680258090300615,40.59885,-111.8669742
1,8,0,3.379189565546003,40.81048,-111.8477778
1,8,1,4.832835460014709,40.78696,-111.8477778
1,8,2,6.456518385908825,40.76345,-111.8477778
1,8,3,8.741656551655527,40.73993,-111.8477778
1,8,4,6.16290222460751,40.71642,-111.8477778
1,8,5,5.041716899333804,40.69291,-111.8477778
1,8,6,5.229406203668324,40.66939,-111.8477778
1,8,7,4.394295517096219,40.64588,-111.8477778
1,8,8,5.18091002359727,40.62236,-111.8477778
1,8,9,5.707659185620976,40.59885,-111.8477778
1,9,0,3.3935486564006223,40.81048,-111.8285814
1,9,1,4.014280082081502,40.78696,-111.8285814
1,9,2,5.291713812565081,40.76345,-111.8285814
1,9,3,5.727762563475174,40.73993,-111.8285814
1,9,4,6.131114435049963,40.71642,-111.8285814
1,9,5,5.208457377916718,40.69291,-111.8285814
1,9,6,4.000869582081421,40.66939,-111.8285814
1,9,7,5.023022654541105,40.64588,-111.8285814
1,9,8,5.4763935427793164,40.62236,-111.8285814
1,9,9,5.202334963669027,40.59885,-111.8285814
1,10,0,3.9622897063633835,40.81048,-111.809385
1,10,1,4.308598871177384,40.78696,-111.809385
1,10,2,5.040910934308556,40.76345,-111.809385
1,10,3,4.500467332708174,40.73993,-111.809385
1,10,4,4.421845900907742,40.71642,-111.809385
1,10,5,4.200025514883151,40.69291,-111.809385
1,10,6,4.733887944205032,40.66939,-111.809385
1,10,7,4.985540604889703,40.64588,-111.809385
1,10,8,4.934361403153058,40.62236,-111.809385
1,10,9,5.248657586866867,40.59885,-111.809385
1,11,0,4.342377129299889,40.81048,-111.7901886
1,11,1,4.230930823470669,40.78696,-111.7901886
1,11,2,4.661444716002921,40.76345,-111.7901886
1,11,3,4.505329339595691,40.73993,-111.7901886
1,11,4,4.4753200190247835,40.71642,-111.7901886
1,11,5,4.681191622382092,40.69291,-111.7901886
1,11,6,4.627766069162129,40.66939,-111.7901886
1,11,7,5.178874541069737,40.64588,-111.7901886
1,11,8,5.305602313807763,40.62236,-111.7901886
1,11,9,5.056217004971307,40.59885,-111.7901886
1,12,0,4.487791082080395,40.81048,-111.7709922
1,12,1,4.082334007608292,40.78696,-111.7709922
1,12,2,4.6395034447628065,40.76345,-111.7709922
1,12,3,4.562541412516178,40.73993,-111.7709922
1,12,4,3.992815711404492,40.71642,-111.7709922
1,12,5,4.616538896444791,40.69291,-111.7709922
1,12,6,4.772986118386252,40.66939,-111.7709922
1,12,7,4.377904572304383,40.64588,-111.7709922
1,12,8,4.860818892964015,40.62236,-111.7709922
1,12,9,4.900559015584229,40.59885,-111.7709922
1,13,0,4.530931725656471,40.81048,-111.7517958
1,13,1,4.18757934993211,40.78696,-111.7517958
1,13,2,4.617915362079138,40.76345,-111.7517958
1,13,3,4.535943396451203,40.73993,-111.7517958
1,13,4,4.099183919457607,40.71642,-111.7517958
1,13,5,4.605891418218546,40.69291,-111.7517958
1,13,6,4.246167107540547,40.66939,-111.7517958
1,13,7,4.121013236353521,40.64588,-111.7517958
1,13,8,4.559500372080836,40.62236,-111.7517958
1,13,9,4.7828116730136045,40.59885,-111.7517958
1,14,0,4.510800221469238,40.81048,-111.7325994
1,14,1,4.358093035072797,40.78696,-111.7325994
1,14,2,4.468433417409059,40.76345,-111.7325994
1,14,3,4.507347400533556,40.73993,-111.7325994
1,14,4,4.337032323293238,40.71642,-111.7325994
1,14,5,4.492334981518425,40.69291,-111.7325994
1,14,6,4.365537321302785,40.66939,-111.7325994
1,14,7,4.442095891268164,40.64588,-111.7325994
1,14,8,3.723958496113037,40.62236,-111.7325994
1,14,9,4.588180569544621,40.59885,-111.7325994
